date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2020-06-11 22:00:21 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 80783a2fb53c45a0b73a69975a0384f2 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 83659
2020-06-11 22:00:25 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 53045618f95d4e729768997279c80f65 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 106894
2020-06-11 22:00:25 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 f9e9ade0343b4416a3ee4e72a39c70e3 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 107379
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 a62d98f9560740b28237610f52fcd55c 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 104097
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 df67b3f9208c485aa1f8096d1829411f 10.211.112.103 - - 200 0 0 25094
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 f4872160eae14c19ae325ea949b22cdd 10.211.112.103 - - 200 0 0 22641
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 916348340d7f4ed48e5e3f8638b1bcd8 10.211.112.103 - - 200 0 0 52564
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 5cc92b5a03b743e4aa339c5ee8875091 10.211.112.103 - - 200 0 0 77909
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 4aa4bd148f7248b9aa003ae45890b0da 10.211.112.103 - - 200 0 0 49205
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 f83be6802e4a4d0a984b977de150414d 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 106504
2020-06-11 22:00:27 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 be40377716ad4de3a9b99097e0654c9c 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 106535
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 d3fac21dfa6845d1995649fee8578a4d 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 105269
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 468494878ad744ca9569ce8fd5d76a86 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 109332
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 d7ed97ae842349158fc82a933bf55cb5 10.211.112.103 - - 200 0 0 77440
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 39bfbb60557a42d1a699b990f999324b 10.211.112.103 - - 200 0 0 57330
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 af977fe296bc4955b0a19dba008cc6d5 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 105238
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 ae2ff88f91344446b90200a0f15158dd 10.211.112.103 - - 200 0 0 21563
